301;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
302;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
303;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
304;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
305;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
306;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
307;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
308;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
309;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
310;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
311;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
312;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
313;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
314;-68.50;-71.00;20.0;88.50;91.00;57.02;61.00;58.50;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
315;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
316;-68.50;-68.50;20.0;88.50;88.50;57.02;61.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
317;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
318;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
319;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
320;-71.00;-68.50;20.0;91.00;88.50;57.02;58.50;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
321;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
322;-67.50;-68.50;20.0;87.50;88.50;57.02;62.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
323;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
324;-66.50;-66.50;20.0;86.50;86.50;57.02;63.00;63.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
325;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
326;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
327;-66.50;-67.50;20.0;86.50;87.50;57.02;63.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
328;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
329;-67.50;-68.50;20.0;87.50;88.50;57.02;62.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
330;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
331;-68.50;-68.50;20.0;88.50;88.50;57.02;61.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
332;-67.50;-68.50;20.0;87.50;88.50;57.02;62.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
333;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
334;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
335;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
336;-67.50;-67.50;20.0;87.50;87.50;57.02;62.00;62.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
337;-68.50;-68.50;20.0;88.50;88.50;57.02;61.00;61.00;8465.6;-129.5;3.00;1.00;18.00;EXCELENTE
